"ID","Lon","Lat","Day","DD","MM","YYYY","TimeWIB"
"1","110.12846","-7.61613","Senin","8","1","2018","16:00"
"2","110.16165","-7.63164","Kamis","1","2","2018","16:30"
"3","110.39046","-7.39474","Sabtu","17","3","2018","21:00"
"4","110.35849","-7.38248","Senin","2","4","2018","16:00"
"5","110.25802","-7.42427","Sabtu","19","5","2018","17:00"
"6","110.36812","-7.51994","Selasa","26","6","2018","21:15"
"7","110.0941","-7.4997","Minggu","8","7","2018","2:30"
"8","110.17786","-7.38206","Jumat","24","8","2018","16:00"
"9","110.23503","-7.50875","Kamis","8","11","2018","20:30"
"10","110.10229","-7.57309","Selasa","25","12","2018","18:00"
